host_since,host_response_time,host_response_rate percentage,host_is_superhost,host_total_listings_count,Number of Verication ways,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,Number of amenities,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,calendar_updated_Daysago,number_of_reviews,lates_review within a month?,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,average_price
2013,within an hour,99,f,750,9,t,f,Downtown,2116,Apartment,Entire home/apt,3,1,1,1,Real Bed,18,500,89,2,30,2,0,17,f,87,9,9,8,9,9,9,t,strict,t,t,125,125,0,0,1.31,221.78
2017,within a day,80,t,3,7,t,f,Roxbury,2119,Apartment,Private room,1,1,1,1,Real Bed,11,204.28,72.07,1,0,3,4,3,f,100,10,10,10,10,9,10,f,flexible,f,f,1,0,1,0,1.18,55.43
2016,within a few hours,100,f,9,8,t,f,Brighton,2135,House,Private room,1,1,1,1,Real Bed,14,300,60,1,50,5,14,6,f,90,9,9,10,9,9,9,f,strict_14_with_grace_period,f,f,6,0,6,0,0.18,45.88
2015,within an hour,100,f,2,6,t,f,Beacon Hill,2114,Apartment,Entire home/apt,2,1,1,1,Airbed,27,204.28,50,1,0,2,90,3,f,80,7,9,7,9,9,9,t,strict_14_with_grace_period,f,f,2,2,0,0,0.33,223.08
2015,within an hour,100,t,1,3,t,f,Dorchester,2124,Apartment,Entire home/apt,2,1,1,1,Real Bed,13,204.28,72.07,1,0,30,49,2,f,100,10,8,10,10,10,9,f,flexible,f,f,1,1,0,0,0.19,53.93
2017,within an hour,100,t,1,5,t,t,South Boston,2127,Apartment,Entire home/apt,2,1,1,1,Real Bed,21,204.28,30,1,0,1,21,9,f,98,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,1,1,0,0,2.25,312.71
2015,within an hour,99,t,25,7,t,f,West End,2114,Apartment,Private room,2,1,1,1,Real Bed,19,204.28,60,1,0,1,0,61,f,98,9,10,10,10,10,9,f,strict_14_with_grace_period,f,f,13,7,6,0,4.43,136.75
2013,within a few hours,100,f,11,4,t,t,South End,2118,Apartment,Entire home/apt,4,1,1,2,Real Bed,17,204.28,125,1,0,1,5,60,f,98,10,10,10,10,10,9,f,strict_14_with_grace_period,f,f,6,6,0,0,1.25,196.51
2014,within an hour,99,f,1070,6,t,f,Downtown,2116,Apartment,Entire home/apt,4,1,2,2,Real Bed,32,400,110,4,5,2,0,22,f,83,9,9,9,10,10,9,t,strict_14_with_grace_period,f,f,283,283,0,0,1.25,506
2014,within an hour,100,f,1,10,t,f,Allston,2134,Apartment,Private room,2,1.5,1,1,Real Bed,15,0,0,1,0,2,60,4,f,90,10,10,10,10,10,9,f,flexible,f,f,1,0,1,0,0.36,81.66
2014,within an hour,99,f,1070,6,t,f,Chinatown,2111,Apartment,Entire home/apt,4,2,2,2,Real Bed,31,400,110,4,5,2,0,7,f,80,9,9,10,9,10,9,t,strict_14_with_grace_period,f,f,283,283,0,0,0.35,514.26
2011,within an hour,95,f,91,4,t,f,Beacon Hill,2114,Apartment,Entire home/apt,2,1,0,1,Real Bed,35,500,105,1,0,2,0,20,f,85,9,9,10,9,10,9,t,strict_14_with_grace_period,f,f,89,75,14,0,0.85,184.09
2013,within an hour,98,f,1751,5,t,f,West End,2114,Apartment,Entire home/apt,5,2,2,3,Real Bed,36,0,119,1,0,1,0,11,f,87,8,10,9,9,10,8,t,strict_14_with_grace_period,f,f,32,32,0,0,1.07,430.98
2015,within an hour,100,f,21,3,t,f,West Roxbury,2132,House,Private room,3,3.5,1,2,Real Bed,13,0,30,1,30,1,1,69,f,92,9,9,10,10,9,9,f,strict_14_with_grace_period,f,f,17,1,16,0,1.8,68.36
2014,within a day,80,f,1,7,t,t,Back Bay,2118,Apartment,Entire home/apt,4,1,2,2,Real Bed,25,204.28,72.07,1,0,2,14,3,f,100,10,9,10,10,10,10,f,strict_14_with_grace_period,f,f,1,1,0,0,0.98,196.73
2011,within an hour,95,f,91,4,t,f,South Boston,2127,Apartment,Entire home/apt,4,1,1,1,Real Bed,31,500,105,1,0,30,0,5,f,92,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,89,75,14,0,0.5,114.9
2011,within a few hours,100,f,1,6,t,t,Roxbury,2118,Loft,Entire home/apt,5,1,1,2,Real Bed,43,0,40,1,0,3,60,20,f,98,10,10,10,10,9,9,f,strict_14_with_grace_period,f,f,1,1,0,0,0.28,200
2018,within an hour,100,t,5,2,t,f,Dorchester,2124,Apartment,Private room,2,1,1,1,Real Bed,15,204.28,45,1,0,1,4,7,f,97,9,10,10,10,10,10,t,flexible,f,f,5,1,4,0,1.46,65
2016,within a few hours,93,f,528,4,t,f,Mission Hill,2115,Apartment,Entire home/apt,5,1,2,3,Real Bed,27,0,100,1,0,1,21,2,f,90,10,10,8,10,7,9,f,strict_14_with_grace_period,f,f,147,147,0,0,0.22,479.31
2013,within a day,100,t,1,4,t,f,South Boston,2118,Apartment,Entire home/apt,2,1,0,1,Real Bed,20,300,30,1,0,2,42,26,f,97,10,10,10,10,10,10,f,moderate,f,f,1,1,0,0,0.84,150
2011,within an hour,100,f,3,5,t,t,Dorchester,2124,House,Private room,3,1.5,1,1,Real Bed,19,100,60,1,25,2,7,70,f,93,9,10,10,10,9,9,t,strict_14_with_grace_period,t,t,3,0,3,0,0.73,68.68
2015,within an hour,100,f,3,5,t,t,Allston,2134,House,Private room,2,1,1,1,Real Bed,35,100,60,2,40,2,21,9,f,89,10,8,10,10,9,9,t,strict_14_with_grace_period,f,f,3,0,3,0,0.2,75
2014,within an hour,99,f,1070,6,t,f,South End,2118,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,32,400,110,4,5,2,0,6,f,97,10,9,10,9,10,9,t,strict_14_with_grace_period,f,f,283,283,0,0,0.63,318.99
2016,within an hour,100,t,1,4,t,f,Roslindale,2131,House,Private room,2,2,1,1,Real Bed,21,204.28,72.07,1,10,2,14,82,f,98,10,10,10,10,9,10,t,flexible,f,f,1,0,1,0,2.26,46.85
2016,within an hour,93,f,29,6,t,t,Beacon Hill,2114,Apartment,Entire home/apt,4,1,1,2,Real Bed,24,0,70,1,0,1,0,12,f,95,10,10,10,10,10,9,t,super_strict_30,f,f,29,29,0,0,0.61,219.78
2013,within an hour,100,f,4,5,t,t,Dorchester,2121,House,Private room,2,1,1,1,Real Bed,50,0,20,1,30,1,7,18,f,89,9,9,9,10,9,9,t,flexible,f,f,4,0,4,0,0.85,59.99
2018,within an hour,94,f,3,6,t,t,Mission Hill,2120,Apartment,Entire home/apt,5,1,1,4,Real Bed,23,200,75,4,50,2,0,19,f,94,9,9,10,10,10,10,t,strict_14_with_grace_period,f,f,2,2,0,0,2.97,223.62
2012,within a day,67,f,1,5,t,t,Jamaica Plain,2130,Apartment,Private room,2,1,1,1,Real Bed,29,204.28,72.07,1,0,2,450,37,f,92,10,9,10,10,9,9,f,moderate,f,f,1,0,1,0,0.54,120
2014,within a day,70,f,1,4,t,t,South End,2118,Apartment,Entire home/apt,4,1,2,2,Real Bed,28,0,25,3,50,2,5,40,f,96,10,10,10,10,10,10,f,moderate,f,f,1,1,0,0,0.82,261.35
2015,within an hour,100,t,3,8,t,t,East Boston,2128,Condominium,Entire home/apt,9,2,3,5,Real Bed,31,100,50,1,0,2,21,7,f,100,10,10,10,10,10,10,f,moderate,f,f,3,1,2,0,0.29,283.63
2014,within an hour,99,f,85,8,t,f,South End,2116,Apartment,Entire home/apt,2,1,0,1,Real Bed,27,0,69,1,0,1,3,48,f,95,10,10,10,10,10,9,t,strict_14_with_grace_period,f,f,54,54,0,0,1.72,150.42
2014,within an hour,99,f,1070,6,t,f,South End,2118,Apartment,Entire home/apt,4,2,2,2,Real Bed,31,400,110,4,5,2,0,5,f,92,10,10,10,10,8,10,t,strict_14_with_grace_period,f,f,283,283,0,0,0.44,258.84
2014,within an hour,99,f,1070,6,t,f,Downtown,2110,Apartment,Entire home/apt,2,1,1,1,Real Bed,31,400,98,2,5,2,0,14,f,84,9,9,9,10,9,9,t,strict_14_with_grace_period,f,f,283,283,0,0,0.42,239.15
2014,within an hour,99,f,1070,6,t,f,Fenway,2215,Apartment,Entire home/apt,4,2,2,2,Real Bed,33,400,110,4,5,2,0,7,f,100,10,10,9,10,10,10,t,strict_14_with_grace_period,f,f,283,283,0,0,0.43,379.08
2014,within an hour,100,t,1,6,t,t,Hyde Park,2136,Loft,Entire home/apt,4,1,0,1,Real Bed,19,200,32,2,26,1,0,102,f,98,10,10,10,10,9,10,f,moderate,f,f,1,1,0,0,2.5,96.34
2014,within an hour,100,t,3,5,t,f,Dorchester,2125,Apartment,Private room,3,1,1,2,Real Bed,23,100,25,2,30,1,0,10,f,100,10,10,10,10,10,10,t,flexible,f,f,3,0,3,0,1.04,109
2018,within an hour,100,t,2,5,t,f,Hyde Park,2136,House,Private room,1,2,1,1,Real Bed,21,100,50,1,25,2,42,4,f,100,10,10,10,10,9,10,f,strict_14_with_grace_period,f,f,2,0,2,0,0.39,50.01
2019,within an hour,80,f,1,6,t,f,Mission Hill,2120,Apartment,Shared room,1,1.5,1,1,Real Bed,12,204.28,72.07,1,0,8,49,1,f,80,10,8,10,10,10,10,f,flexible,f,f,1,0,0,1,0.61,22.13
2014,within an hour,99,f,1070,6,t,f,Downtown,2111,Apartment,Entire home/apt,2,1,1,1,Real Bed,31,400,93,2,5,2,0,6,f,77,8,9,10,10,7,8,t,strict_14_with_grace_period,f,f,283,283,0,0,0.3,476.95
2014,within a few hours,100,f,37,8,t,f,East Boston,2128,Apartment,Entire home/apt,4,1,0,1,Real Bed,18,0,125,1,0,1,0,4,f,95,10,10,10,9,10,10,f,moderate,f,f,21,21,0,0,1.11,189.6
2014,within an hour,100,f,5,5,t,t,Brighton,2135,Serviced apartment,Private room,2,1,1,1,Real Bed,22,1000,20,1,35,1,360,65,f,95,10,9,10,10,10,10,t,strict_14_with_grace_period,f,f,5,0,5,0,2.53,54.4
2017,within an hour,98,f,1609,6,t,t,West End,2114,Apartment,Entire home/apt,5,2,2,3,Real Bed,25,0,139,5,0,1,0,1,f,100,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,32,32,0,0,0.61,428.17
2013,within an hour,99,f,750,9,t,f,Downtown,2116,Apartment,Entire home/apt,3,1,0,1,Real Bed,21,500,89,2,30,2,0,3,f,73,7,7,8,7,9,7,t,strict,t,t,125,125,0,0,0.55,222.3
2014,within an hour,99,f,1070,6,t,f,Fenway,2215,Apartment,Entire home/apt,4,1,1,2,Real Bed,32,400,106,2,5,2,0,39,f,90,9,10,9,10,10,9,t,strict_14_with_grace_period,f,f,283,283,0,0,1.17,513.89
2019,within an hour,100,t,2,2,t,f,Dorchester,2125,House,Private room,2,1,1,1,Real Bed,42,204.28,20,2,30,1,120,8,f,98,10,10,10,10,10,10,t,flexible,f,f,2,0,2,0,2,113.33
2014,within an hour,99,f,1070,6,t,f,Fenway,2215,Apartment,Entire home/apt,4,2,2,2,Real Bed,33,400,110,4,5,2,0,32,f,97,10,10,10,10,10,9,t,strict_14_with_grace_period,f,f,283,283,0,0,1.92,373.38
2016,within an hour,93,f,29,6,t,t,South End,2116,Apartment,Entire home/apt,2,1,1,1,Real Bed,27,0,70,1,0,2,0,37,f,92,9,10,10,9,10,9,t,super_strict_30,f,f,29,29,0,0,2.03,712.85
2014,within an hour,99,f,1070,6,t,f,Fenway,2215,Apartment,Entire home/apt,2,1,1,1,Real Bed,31,400,97,2,5,2,0,25,f,88,9,9,9,10,10,9,t,strict_14_with_grace_period,f,f,283,283,0,0,0.73,477.52
2016,within a few hours,93,f,528,4,t,f,Mission Hill,2115,Apartment,Entire home/apt,7,2,3,4,Real Bed,27,0,100,1,0,3,0,7,f,97,10,10,10,9,9,10,f,strict_14_with_grace_period,f,f,147,147,0,0,0.3,569.65
2016,within an hour,93,f,29,6,t,t,Beacon Hill,2114,Apartment,Entire home/apt,4,1,1,2,Real Bed,27,0,70,1,0,1,0,22,f,91,10,9,10,10,10,9,t,super_strict_30,f,f,29,29,0,0,1.12,217.36
2014,within an hour,99,f,1070,6,t,f,Downtown,2110,Apartment,Entire home/apt,2,1,0,1,Real Bed,31,400,95,2,5,2,0,25,f,87,9,10,10,9,9,9,t,strict_14_with_grace_period,f,f,283,283,0,0,0.75,224.46
2014,within an hour,99,f,85,8,t,f,South End,2116,Apartment,Entire home/apt,2,1,0,1,Real Bed,28,0,69,1,0,1,0,67,f,94,10,10,10,10,10,9,t,strict_14_with_grace_period,f,f,54,54,0,0,1.32,150.59
2012,within an hour,98,f,270,8,t,t,Chinatown,2111,Apartment,Entire home/apt,5,1,2,2,Real Bed,22,250,105,1,0,7,14,5,f,88,9,10,7,9,10,9,t,strict_14_with_grace_period,f,f,8,8,0,0,0.48,678.04
2012,within an hour,77,f,1,6,t,t,Back Bay,2116,Apartment,Entire home/apt,2,1,0,1,Real Bed,28,150,40,1,0,28,0,116,f,81,9,9,8,8,9,8,f,strict_14_with_grace_period,f,f,2,2,0,0,2.67,198.35
2012,Not Sure,96.40529571,f,1,7,t,t,Dorchester,2125,Apartment,Entire home/apt,3,1,1,1,Real Bed,22,0,85,1,0,2,90,2,f,100,10,9,10,10,10,10,f,strict_14_with_grace_period,f,f,1,1,0,0,0.67,106.59
2018,within an hour,100,f,6,6,t,f,Dorchester,2122,Apartment,Private room,4,1,1,2,Real Bed,29,150,45,2,20,2,120,16,f,98,10,10,10,10,9,10,t,flexible,f,f,6,0,6,0,1.89,56.14
2014,within a few hours,100,f,37,8,t,f,Back Bay,2116,Serviced apartment,Entire home/apt,4,1,2,2,Real Bed,30,0,100,1,0,3,0,9,f,90,9,10,8,9,10,10,f,moderate,f,f,21,21,0,0,0.76,278.46
2013,within an hour,100,f,1,4,t,t,Jamaica Plain,2130,House,Entire home/apt,4,2.5,2,2,Real Bed,33,100,75,1,0,5,28,12,f,98,10,10,10,10,10,9,f,strict_14_with_grace_period,f,f,1,1,0,0,0.23,121.93
2014,within a few hours,80,f,2,6,t,f,Dorchester,2121,House,Private room,1,1,1,1,Real Bed,8,0,0,1,20,3,270,76,f,95,10,9,10,9,9,10,t,flexible,f,f,2,0,2,0,2.28,50
2018,within an hour,100,t,5,2,t,f,Hyde Park,2136,House,Private room,2,1,1,1,Real Bed,19,150,30,1,10,30,90,15,f,97,9,10,10,9,8,9,t,flexible,f,f,5,2,3,0,1.37,103.36
2016,within an hour,100,t,1,4,t,f,West Roxbury,2132,House,Private room,6,1.5,2,2,Real Bed,34,200,30,1,50,1,60,23,f,97,10,9,10,10,9,9,t,strict_14_with_grace_period,f,f,1,0,1,0,1.72,66.14
2017,within an hour,100,t,2,7,t,f,Brighton,2135,Apartment,Private room,2,1,1,1,Real Bed,29,204.28,12,1,10,2,0,18,f,99,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,2,0,2,0,1.86,55.61
2011,Not Sure,96.40529571,t,1,5,t,t,Jamaica Plain,2130,Apartment,Entire home/apt,8,2,4,6,Real Bed,28,400,150,6,15,2,0,68,f,95,10,9,10,10,9,9,t,strict_14_with_grace_period,f,t,1,1,0,0,0.95,403.98
2014,within an hour,99,f,1070,6,t,f,Fenway,2215,Apartment,Entire home/apt,2,1,1,1,Real Bed,33,400,99,2,5,2,0,6,f,97,10,10,10,10,10,9,t,strict_14_with_grace_period,f,f,283,283,0,0,0.38,248.18
2011,within an hour,100,f,1,7,t,t,South End,2118,Condominium,Entire home/apt,5,2,2,2,Real Bed,40,500,100,4,25,3,35,6,f,100,10,10,10,10,10,10,t,strict_14_with_grace_period,f,t,1,1,0,0,0.08,385.66
2015,within a few hours,99,f,778,6,t,f,Mission Hill,2115,Apartment,Entire home/apt,6,2,3,4,Real Bed,32,0,100,6,0,3,0,2,f,80,9,10,10,10,8,10,t,strict_14_with_grace_period,f,f,134,134,0,0,0.31,601.39
2018,within an hour,100,t,5,6,t,t,Jamaica Plain,2130,Bed and breakfast,Private room,4,3,2,3,Real Bed,25,0,25,2,25,1,0,3,f,100,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,5,0,5,0,0.55,171.09
2015,within an hour,100,f,3,5,t,t,Allston,2134,House,Private room,2,1,1,1,Real Bed,30,100,60,2,30,2,60,12,f,87,9,9,10,9,10,9,t,strict_14_with_grace_period,f,f,3,0,3,0,0.46,84.27
2014,within an hour,100,t,18,9,t,f,Dorchester,2122,House,Private room,2,2,1,1,Real Bed,44,150,45,1,0,2,0,13,f,97,10,10,10,10,10,10,t,flexible,f,f,18,4,14,0,0.55,187.35
2019,within an hour,100,t,10,6,t,f,Beacon Hill,2108,Apartment,Entire home/apt,5,2,2,3,Real Bed,32,0,195,4,65,2,0,8,f,100,10,10,10,10,10,10,t,moderate,f,f,8,8,0,0,1.53,462.11
2014,within an hour,99,f,1070,6,t,f,Fenway,2215,Apartment,Entire home/apt,2,1,1,1,Real Bed,33,400,82,2,5,2,0,3,f,93,10,10,9,10,10,9,t,strict_14_with_grace_period,f,f,283,283,0,0,0.21,249.65
2014,within an hour,100,t,18,9,t,f,Dorchester,2122,House,Private room,4,2,1,2,Real Bed,44,150,45,2,15,2,1,14,f,90,9,10,10,10,8,9,t,moderate,f,f,18,4,14,0,1.07,264
2015,within an hour,100,t,2,5,t,t,Beacon Hill,2114,Apartment,Private room,1,1,1,1,Real Bed,26,200,60,1,10,1,60,60,f,95,10,10,10,10,10,9,f,moderate,f,f,2,0,2,0,1.28,125.41
2015,within an hour,100,t,3,4,t,f,Roxbury,2119,Townhouse,Private room,2,1,1,2,Real Bed,34,250,35,1,30,4,0,111,f,97,10,10,10,10,9,9,f,moderate,f,f,3,0,3,0,2.44,102.05
2016,within a few hours,100,t,7,7,t,t,Roxbury,,Apartment,Private room,1,1.5,1,1,Real Bed,14,204.28,5,1,30,30,7,18,f,97,10,9,10,10,8,10,f,flexible,f,f,7,0,7,0,0.47,40.53
2014,within an hour,99,f,1070,6,t,f,Fenway,2215,Apartment,Entire home/apt,3,1,1,2,Real Bed,32,400,104,2,5,2,0,18,f,89,9,9,9,9,10,8,t,strict_14_with_grace_period,f,f,283,283,0,0,0.64,513.04
2014,within an hour,99,f,1070,6,t,f,South Boston,2127,Apartment,Entire home/apt,2,1,1,1,Real Bed,33,400,92,2,5,2,0,24,f,97,10,10,9,9,9,9,t,strict_14_with_grace_period,f,f,283,283,0,0,0.93,474.53
2014,within an hour,100,f,21,7,t,t,Jamaica Plain,2130,Apartment,Entire home/apt,7,1,3,5,Real Bed,29,204.28,50,4,15,2,21,1,f,80,10,10,10,8,10,8,f,strict_14_with_grace_period,f,f,20,4,16,0,0.63,290
2014,within an hour,99,f,1070,6,t,f,Fenway,2215,Apartment,Entire home/apt,2,1,1,1,Real Bed,33,400,82,2,5,2,0,17,f,95,10,9,10,10,10,9,t,strict_14_with_grace_period,f,f,283,283,0,0,1.04,255.95
2017,within an hour,100,f,1,8,t,t,South Boston Waterfront,2210,Apartment,Entire home/apt,2,1,1,1,Real Bed,20,0,100,1,0,1,49,1,f,93.03,9.58,9.43,9.73,9.67,9.58,9.26,t,flexible,f,f,1,1,0,0,0.63,203.08
2018,within an hour,100,f,4,2,t,f,Dorchester,2122,Guest suite,Private room,2,1,1,1,Real Bed,33,0,27,1,0,1,28,10,f,96,10,9,10,10,10,9,t,flexible,f,f,4,1,3,0,1.22,57
2011,within an hour,95,f,91,4,t,f,South Boston,2127,Apartment,Entire home/apt,2,1,1,1,Real Bed,31,500,105,1,0,30,0,3,f,93,10,9,10,10,10,10,f,strict_14_with_grace_period,f,f,89,75,14,0,1.53,114.9
2013,within an hour,100,t,7,6,t,t,South End,2118,Apartment,Entire home/apt,2,1,1,1,Real Bed,26,400,225,2,40,30,0,26,f,98,10,10,10,10,10,9,f,super_strict_60,f,t,7,7,0,0,0.41,195.89
2014,within an hour,99,f,1070,6,t,f,Fenway,2215,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,33,400,92,2,5,2,0,35,f,93,10,10,9,9,10,9,t,strict_14_with_grace_period,f,f,283,283,0,0,1.26,501.34
2010,within an hour,95,f,4,5,t,t,South End,2116,House,Private room,1,1,1,1,Real Bed,11,0,26,1,15,2,35,244,f,90,10,9,10,10,10,9,t,moderate,f,f,5,0,5,0,3.2,141.52
2014,within an hour,100,f,21,7,t,t,Jamaica Plain,2119,Apartment,Private room,1,1,1,1,Real Bed,16,204.28,20,1,10,3,14,15,f,91,10,9,9,9,9,9,f,strict_14_with_grace_period,f,f,20,4,16,0,0.7,76.67
2015,within a few hours,100,f,2,3,t,f,Back Bay,2116,Apartment,Entire home/apt,4,1,1,2,Real Bed,28,500,150,2,25,5,60,34,f,98,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,1,1,0,0,0.79,197.36
2014,within an hour,99,f,1070,6,t,f,Downtown,2109,Apartment,Entire home/apt,4,2,2,2,Real Bed,31,400,110,4,5,2,0,6,f,93,10,9,10,10,10,9,t,strict_14_with_grace_period,f,f,283,283,0,0,1.54,422.59
2014,within an hour,99,f,71,10,t,f,Downtown,2110,Apartment,Entire home/apt,6,2,1,4,Real Bed,23,300,125,7,50,1,0,12,f,86,9,10,10,9,10,9,t,strict_14_with_grace_period,f,f,31,31,0,0,2.55,217.02
2015,within an hour,100,f,21,3,t,f,Dorchester,2124,Apartment,Private room,2,1.5,1,2,Real Bed,13,0,25,1,30,1,1,14,f,93,9,9,10,10,9,9,t,flexible,f,f,17,1,16,0,1.09,48.8
2014,within an hour,99,f,1070,6,t,f,Downtown,2116,Apartment,Entire home/apt,2,1,1,1,Real Bed,31,400,95,2,5,2,0,13,f,86,9,9,9,9,10,9,t,strict_14_with_grace_period,f,f,283,283,0,0,0.8,466.3
2016,within an hour,90,f,3,4,t,f,Brighton,2135,Apartment,Entire home/apt,3,1,1,2,Real Bed,18,204.28,72.07,1,0,5,14,2,f,80,7,10,10,10,10,8,t,strict_14_with_grace_period,f,f,3,1,2,0,0.22,129
2013,within an hour,99,f,750,9,t,f,Downtown,2116,Apartment,Entire home/apt,3,1,0,1,Real Bed,21,500,89,2,30,2,0,2,f,100,10,10,10,10,10,10,t,strict,t,t,125,125,0,0,0.29,222.44
2014,within an hour,99,f,1070,6,t,f,Chinatown,2111,Apartment,Entire home/apt,2,1,0,1,Real Bed,31,400,88,2,5,2,0,16,f,93,10,10,10,10,9,8,t,strict_14_with_grace_period,f,f,283,283,0,0,0.91,470.52
2014,within an hour,99,f,1070,6,t,f,South End,2118,Apartment,Entire home/apt,4,1,2,2,Real Bed,32,400,110,4,5,2,0,24,f,92,10,9,10,10,9,9,t,strict_14_with_grace_period,f,f,283,283,0,0,1.49,258.73
2016,Not Sure,96.40529571,f,2,5,t,f,Jamaica Plain,2130,Guest suite,Private room,2,1,1,1,Real Bed,16,0,25,1,0,2,90,23,f,99,10,10,10,10,10,10,f,flexible,f,f,2,0,2,0,1.94,69.17
2017,within an hour,100,f,1,8,t,t,South Boston,2127,Condominium,Private room,1,1,1,1,Real Bed,14,204.28,72.07,1,0,1,60,2,f,100,10,10,10,10,10,10,t,flexible,f,f,1,0,1,0,0.82,137.52
2018,Not Sure,96.40529571,f,1,2,t,f,Dorchester,2122,Condominium,Entire home/apt,6,1,2,4,Real Bed,25,0,75,1,20,3,0,5,f,92,9,10,10,10,10,9,t,flexible,f,f,1,1,0,0,0.54,204.7
2013,within an hour,100,t,3,9,t,t,Dorchester,2122,House,Private room,2,1,1,1,Real Bed,41,100,25,1,30,1,14,98,f,96,10,10,10,10,9,10,f,moderate,f,f,3,0,3,0,2.15,96.22
2016,within a day,100,t,1,3,t,f,West Roxbury,2132,House,Entire home/apt,6,1.5,3,4,Real Bed,39,200,100,1,0,3,14,20,f,100,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,1,1,0,0,0.58,263.12
2014,within an hour,99,f,1070,6,t,f,Fenway,2215,Apartment,Entire home/apt,2,1,1,1,Real Bed,33,400,82,2,5,2,0,14,f,99,10,10,10,10,10,9,t,strict_14_with_grace_period,f,f,283,283,0,0,0.86,248.93
2014,within an hour,99,f,1070,6,t,f,Brighton,2135,Apartment,Entire home/apt,4,1,2,2,Real Bed,34,400,110,4,5,2,0,32,f,91,9,9,9,9,9,9,t,strict_14_with_grace_period,f,f,283,283,0,0,1.34,487.59
2019,within a day,50,f,2,3,t,f,Hyde Park,2136,House,Private room,3,1,1,1,Real Bed,12,0,0,1,20,1,90,2,f,80,10,9,10,6,10,8,t,moderate,f,f,1,0,1,0,0.98,67.03
2015,within an hour,100,f,36,4,t,f,Back Bay,2115,Apartment,Entire home/apt,2,1,1,1,Real Bed,31,0,60,2,0,1,0,23,f,79,8,8,9,9,9,8,f,strict_14_with_grace_period,f,f,35,34,1,0,0.55,247.47
2016,within a few hours,100,f,2,3,t,f,Dorchester,2121,House,Entire home/apt,5,1,3,3,Real Bed,17,204.28,50,2,50,2,0,92,f,87,9,9,10,10,8,9,f,moderate,f,f,2,2,0,0,2.18,96.41
2015,within an hour,80,t,1,8,t,f,Roxbury,2119,Apartment,Entire home/apt,4,1,1,3,Real Bed,30,0,0,1,50,3,0,43,f,96,10,10,10,10,9,9,t,strict_14_with_grace_period,f,f,1,1,0,0,2.83,183.23
2016,within an hour,100,f,79,4,t,f,Beacon Hill,2108,Apartment,Entire home/apt,2,1,1,1,Real Bed,25,0,70,1,0,3,0,86,f,95,9,9,10,10,10,9,t,strict_14_with_grace_period,f,f,45,45,0,0,3.73,318.65
2010,within a few hours,100,f,1,3,t,f,Roslindale,2131,House,Private room,1,0.5,1,1,Real Bed,13,204.28,72.07,1,0,30,90,23,f,93,9,9,10,10,9,9,f,flexible,f,f,1,0,1,0,0.92,40.04
2015,within an hour,100,t,3,5,t,t,East Boston,2128,Apartment,Entire home/apt,8,2,3,3,Real Bed,44,250,100,4,35,1,0,45,f,95,10,10,10,10,9,10,t,strict_14_with_grace_period,f,f,3,3,0,0,1.31,469.44
2014,within an hour,100,f,18,3,t,f,East Boston,2128,House,Private room,2,2,1,1,Real Bed,24,100,25,1,20,1,28,47,f,94,10,10,10,10,10,9,f,strict_14_with_grace_period,f,f,9,0,9,0,1.83,61.28
2018,within an hour,100,t,1,7,t,f,Brighton,2135,Apartment,Entire home/apt,4,1,1,3,Real Bed,37,0,45,1,0,2,42,42,f,99,10,10,10,10,10,10,t,moderate,f,f,1,1,0,0,3.62,170
2018,within an hour,88,f,4,2,t,f,Mattapan,2126,Townhouse,Entire home/apt,6,1.5,3,3,Real Bed,48,150,60,6,20,3,270,2,f,100,8,10,10,10,10,8,t,strict_14_with_grace_period,f,f,4,1,3,0,0.51,206.03
2014,within a few hours,80,f,2,7,t,t,Charlestown,2129,Apartment,Entire home/apt,4,1,2,2,Real Bed,20,204.28,72.07,1,0,2,3,3,f,90,9,9,10,10,10,8,t,flexible,f,f,1,1,0,0,0.79,244
2015,within a few hours,100,t,36,6,t,f,South End,2118,Apartment,Entire home/apt,2,1,0,1,Real Bed,24,0,100,1,0,2,1,25,f,94,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,25,19,6,0,0.98,143.16
2018,within an hour,100,f,1,3,t,f,Charlestown,2129,Serviced apartment,Entire home/apt,10,2,3,5,Real Bed,42,0,159,6,25,3,0,6,f,73,7,10,8,8,8,8,t,strict_14_with_grace_period,f,f,1,1,0,0,0.85,394.72
