host_response_rate.percentage,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,bed_type,Number.of.amenities,security_deposit,cleaning_fee,instant_bookable,cancellation_policy,require_guest_phone_verification,average_price,if_review_score96,sqrt.host_total_listings_count,sqrt.accommodates,sqrt.security_deposit,sqrt.number_of_reviews,HierCluster,KMeansCluster
96.40529571,1,t,South Boston,Apartment,Private room,3,1,1,Real Bed,14,100,35,f,moderate,f,97.55,f,1,1.732050808,10,5.830951895,1,6
96.40529571,1,f,Downtown,Apartment,Entire home/apt,2,1,1,Real Bed,11,204.28,72.07,f,flexible,f,225,t,1,1.414213562,14.29265546,1.414213562,3,6
96.40529571,1,t,Charlestown,Apartment,Private room,2,1,1,Real Bed,13,204.28,0,f,strict_14_with_grace_period,f,300,f,1,1.414213562,14.29265546,1,4,6
96.40529571,1,t,Back Bay,Apartment,Entire home/apt,4,1,1,Real Bed,12,500,30,f,strict_14_with_grace_period,f,230,t,1,2,22.36067977,1.414213562,2,6
96.40529571,1,t,Fenway,Apartment,Entire home/apt,4,1,0,Real Bed,12,204.28,72.07,f,moderate,f,195,f,1,2,14.29265546,1.732050808,1,6
96.40529571,1,t,Roslindale,House,Entire home/apt,5,3.5,4,Real Bed,16,500,100,f,moderate,f,175,t,1,2.236067977,22.36067977,1,1,2
96.40529571,1,t,Beacon Hill,Apartment,Entire home/apt,4,1.5,2,Real Bed,14,1000,100,f,flexible,f,238.55,t,1,2,31.6227766,1,3,3
96.40529571,1,t,South End,Apartment,Entire home/apt,2,1,0,Real Bed,10,204.28,72.07,f,flexible,f,146,f,1,1.414213562,14.29265546,1,3,6
96.40529571,1,t,Mission Hill,Apartment,Private room,2,1.5,1,Real Bed,0,204.28,72.07,f,flexible,f,75,f,1,1.414213562,14.29265546,2.236067977,4,6
96.40529571,1,f,Brighton,Apartment,Entire home/apt,2,1,0,Real Bed,7,204.28,72.07,f,flexible,f,90,t,1,1.414213562,14.29265546,2,3,6
96.40529571,1,t,Allston,House,Private room,1,1,1,Real Bed,11,204.28,72.07,f,flexible,f,35,f,1,1,14.29265546,1.414213562,4,6
96.40529571,1,t,South End,Apartment,Entire home/apt,2,1,1,Real Bed,14,500,25,f,flexible,f,140,t,1,1.414213562,22.36067977,1,3,6
99,778,f,Fenway,Apartment,Entire home/apt,5,2,2,Real Bed,36,204.28,100,f,strict_14_with_grace_period,f,514.14,t,27.89265136,2.236067977,14.29265546,1,2,7
96.40529571,1,t,South End,Apartment,Private room,2,1.5,1,Real Bed,8,204.28,25,f,flexible,f,85,f,1,1.414213562,14.29265546,1,4,6
98,441,t,Back Bay,Apartment,Entire home/apt,5,1,2,Real Bed,33,204.28,100,f,moderate,t,424.64,f,21,2.236067977,14.29265546,2.645751311,1,7
96.40529571,1,t,Jamaica Plain,House,Entire home/apt,7,2,3,Real Bed,19,500,140,f,flexible,f,300,f,1,2.645751311,22.36067977,1.732050808,3,2
96.40529571,1,t,Back Bay,Apartment,Private room,2,1,1,Real Bed,13,204.28,20,f,strict_14_with_grace_period,f,100,f,1,1.414213562,14.29265546,3.605551275,4,6
96.40529571,1,f,Mission Hill,Apartment,Private room,1,1,1,Real Bed,11,204.28,72.07,f,flexible,f,60,f,1,1,14.29265546,1.414213562,4,6
96.40529571,1,t,Allston,Apartment,Private room,2,1,1,Real Bed,14,204.28,10,t,flexible,f,94.3,f,1,1.414213562,14.29265546,1.732050808,5,6
96.40529571,1,t,Jamaica Plain,House,Entire home/apt,9,2,4,Real Bed,13,200,100,f,strict_14_with_grace_period,f,250,t,1,3,14.14213562,2.236067977,2,3
96.40529571,1,t,West Roxbury,House,Entire home/apt,3,1,2,Real Bed,10,204.28,72.07,f,moderate,f,100,f,1,1.732050808,14.29265546,1.732050808,1,6
96.40529571,2,t,Allston,Apartment,Private room,2,1,1,Real Bed,10,200,20,f,moderate,f,76,f,1.414213562,1.414213562,14.14213562,1.414213562,1,6
96.40529571,1,t,Mission Hill,Apartment,Private room,2,1,1,Real Bed,13,204.28,10,f,strict_14_with_grace_period,f,90,f,1,1.414213562,14.29265546,1.732050808,4,6
96.40529571,1,t,Mission Hill,Apartment,Private room,2,2,1,Real Bed,10,204.28,30,f,flexible,f,71.85,f,1,1.414213562,14.29265546,2.828427125,4,6
96.40529571,1,t,Roxbury,Apartment,Private room,2,1,1,Real Bed,11,204.28,72.07,f,flexible,f,134.27,t,1,1.414213562,14.29265546,1.414213562,4,6
96.40529571,1,t,Jamaica Plain,Apartment,Entire home/apt,2,1,1,Real Bed,21,204.28,50,f,flexible,f,200,t,1,1.414213562,14.29265546,1.732050808,3,6
96.40529571,1,t,Allston,House,Private room,1,2,1,Futon,10,125,10,t,strict_14_with_grace_period,f,44.7,t,1,1,11.18033989,1,5,6
96.40529571,1,t,Downtown,Apartment,Entire home/apt,5,1.5,2,Real Bed,14,300,120,f,flexible,f,350,f,1,2.236067977,17.32050808,2.236067977,3,3
96.40529571,1,t,Dorchester,Apartment,Private room,1,1,1,Real Bed,18,100,15,f,moderate,f,76,f,1,1,10,2.236067977,1,6
96.40529571,1,f,Allston,Apartment,Entire home/apt,3,1,2,Real Bed,11,204.28,72.07,f,flexible,f,200,t,1,1.732050808,14.29265546,1,3,6
100,2,f,Jamaica Plain,House,Private room,2,1,1,Real Bed,9,204.28,10,f,strict_14_with_grace_period,f,65,f,1.414213562,1.414213562,14.29265546,1.414213562,4,6
96.40529571,1,t,Roxbury,House,Private room,2,1,1,Real Bed,12,204.28,25,f,strict_14_with_grace_period,f,79,f,1,1.414213562,14.29265546,1.414213562,4,6
96.40529571,1,t,North End,Apartment,Entire home/apt,4,1,2,Real Bed,7,204.28,25,f,flexible,f,185,t,1,2,14.29265546,1.414213562,3,6
96.40529571,1,t,Roxbury,Apartment,Private room,2,2,1,Real Bed,14,204.28,20,f,moderate,f,80,t,1,1.414213562,14.29265546,5.567764363,1,6
100,4,t,Charlestown,Bed and breakfast,Private room,2,1,1,Real Bed,29,204.28,25,t,strict_14_with_grace_period,f,210,t,2,1.414213562,14.29265546,1.414213562,5,6
96.40529571,1,t,South End,Apartment,Entire home/apt,4,1,2,Real Bed,15,204.28,45,f,moderate,f,290,t,1,2,14.29265546,1,1,6
96.40529571,1,t,South End,Condominium,Entire home/apt,2,2,1,Real Bed,14,250,90,t,strict_14_with_grace_period,f,200,t,1,1.414213562,15.8113883,1.414213562,6,6
99,778,f,Fenway,Apartment,Entire home/apt,3,1,1,Real Bed,34,204.28,100,f,strict_14_with_grace_period,f,483.77,t,27.89265136,1.732050808,14.29265546,1,2,5
96.40529571,1,t,Dorchester,Apartment,Private room,2,2,1,Real Bed,14,300,19,f,flexible,f,59,f,1,1.414213562,17.32050808,2,4,6
90,22,f,Dorchester,Apartment,Private room,2,1,1,Real Bed,28,0,150,f,moderate,f,75.21,t,4.69041576,1.414213562,0,1,5,6
